,Pyrocosm1Neg_N1_T1,Pyrocosm1Neg_N2_T1,Pyrocosm1Neg_N3_T1,Pyrocosm1Neg_N4_T1,Pyrocosm1Neg_N1_T2,Pyrocosm1Neg_N2_T2,Pyrocosm1Neg_N3_T2,Pyrocosm1Neg_N4_T2,Pyrocosm1_F1_T1,Pyrocosm1_F2_T1,Pyrocosm1_F4_T1,Pyrocosm1_F1_T2,Pyrocosm1_F2_T2,Pyrocosm1_F3_T2,Pyrocosm1_F4_T2,Pyrocosm2_F3_T1,Pyrocosm2_F4_T1,Pyrocosm2_F1_T2,Pyrocosm2_F2_T2,Pyrocosm2_F3_T2,Pyrocosm2_F1_T3,Pyrocosm2_F2_T3,Pyrocosm2_F3_T3,Pyrocosm2_F4_T3,taxonomy,species
OTU_136,0,0,179,39,11,3,6,23,1,0,6,3,9,0,0,4,9,0,0,0,0,0,0,2,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__unidentified; g__unidentified; s__Botryosphaeriales sp,Botryosphaeriales sp
OTU_1012,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__unidentified; g__unidentified; s__Botryosphaeriales sp,Botryosphaeriales sp
OTU_1610,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Incertae sedis; g__Friedmanniomyces; s__Friedmanniomyces sp,Friedmanniomyces sp
OTU_1257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Incertae sedis; g__Hispidoconidioma; s__Hispidoconidioma sp,Hispidoconidioma sp
OTU_217,10,0,0,49,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__unidentified; s__Mycosphaerellaceae sp,Mycosphaerellaceae sp
OTU_1271,1,5,6,3,5,10,13,9,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__unidentified; s__Mycosphaerellaceae sp,Mycosphaerellaceae sp
OTU_911,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; s__Devriesia sp,Devriesia sp
OTU_1455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; s__Devriesia sp,Devriesia sp
OTU_1933,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; s__Devriesia sp,Devriesia sp
OTU_578,1,0,2,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__unidentified; g__unidentified; s__Capnodiales sp,Capnodiales sp
OTU_636,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__unidentified; g__unidentified; s__Capnodiales sp,Capnodiales sp
