rank,Control,Pyrocosm1,Pyrocosm2,Pyrocosm 1 no Pyronema,Pyrocosm 2 no Pyronema
1,6.600395719,57.77891917,37.0157669,13.419981,23.8426748
2,5.214903812,6.814062374,10.8489088,13.381535,13.7227359
3,4.25016091,4.593363585,10.7521492,9.227554,12.5573067
4,4.072564304,4.580204517,7.0390867,8.536774,5.5153358
5,3.207466209,3.158388481,6.1884376,7.837933,4.1399750
6,3.029869604,2.921949749,5.6628729,5.281924,4.0998410
7,3.026293833,2.682751858,2.4872089,4.279859,3.1536051
8,2.863715464,1.807886102,1.8669730,3.075025,2.4250189
9,2.299935636,1.464901371,1.8488740,2.863574,2.2644830
10,2.081575246,1.179222257,1.4221573,2.099004,1.9140824
11,2.054637774,1.05251317,1.0935923,1.917317,1.8538814
12,2.040096307,0.980138298,1.0211966,1.826784,1.6084467
13,2.001954755,0.718442646,0.8631791,1.348695,1.5883797
14,1.913514029,0.656255439,0.8360308,1.134144,1.5590510
15,1.871081551,0.625267957,0.7253489,1.074615,1.3861661
16,1.857016854,0.461628583,0.7162995,0.959279,1.3367704
17,1.832939999,0.388192496,0.7030733,0.958659,1.2858312
18,1.773343822,0.367817165,0.6251088,0.943156,1.0496581
19,1.727097189,0.328339962,0.6028332,0.930134,0.7795255
20,1.679658633,0.328127719,0.5798615,0.762090,0.7610021
21,1.521847958,0.322821644,0.4733563,0.757129,0.7563713
22,1.21290138,0.31836454,0.3515367,0.738527,0.6606672
23,1.147345586,0.26084668,0.3431833,0.724265,0.6035534
24,1.127321271,0.259148736,0.3410950,0.561801,0.6020098
25,1.015995614,0.252781445,0.2979360,0.533277,0.5942917
26,0.995494529,0.247899855,0.2721799,0.513434,0.4291249
27,0.909676035,0.192292182,0.2714838,0.468168,0.4167760
28,0.908245727,0.182529003,0.2680032,0.435923,0.3612059
29,0.881785025,0.175737226,0.1935192,0.429722,0.3457697
30,0.845788934,0.160243485,0.1879503,0.405539,0.3257027
31,0.811223152,0.149206848,0.1628903,0.402438,0.3102666
32,0.784047296,0.147084418,0.1559291,0.372054,0.2809379
33,0.716822809,0.138806939,0.1468797,0.321827,0.2793943
34,0.716346039,0.137745724,0.1399186,0.318726,0.2732198
35,0.681065103,0.127345816,0.1266924,0.289582,0.2716762
36,0.679634795,0.110154131,0.1259963,0.277180,0.2361731
37,0.642685165,0.109092916,0.1232119,0.272219,0.2145625
38,0.635772009,0.099117493,0.1225157,0.263538,0.1883210
39,0.608119383,0.094872633,0.1065052,0.256097,0.1821466
40,0.605497151,0.093174689,0.0967596,0.251136,0.1728849
41,0.560919211,0.090203286,0.0849257,0.247416,0.1697976
42,0.552814131,0.08765637,0.0821412,0.230053,0.1620796
43,0.547569668,0.085958426,0.0779646,0.226333,0.1543615
44,0.522539274,0.084684968,0.0765723,0.226333,0.1327509
45,0.520632196,0.078742163,0.0730918,0.219512,0.1296636
46,0.498939188,0.077468705,0.0696112,0.211451,0.1281200
47,0.498462419,0.077468705,0.0598657,0.211451,0.1219456
48,0.494886648,0.075134031,0.0584734,0.204630,0.1095967
49,0.487258338,0.072374872,0.0577773,0.191608,0.1080530
50,0.483444182,0.072374872,0.0549929,0.179206,0.1080530
51,0.460320866,0.070040199,0.0494240,0.174865,0.1049658
52,0.453407709,0.065583095,0.0487279,0.169905,0.1018786
53,0.449116785,0.061338235,0.0487279,0.169284,0.0987913
54,0.426708622,0.059852534,0.0473356,0.168044,0.0818116
55,0.425993468,0.058154589,0.0459434,0.166804,0.0802680
56,0.404062075,0.057942346,0.0445512,0.159363,0.0802680
57,0.402870152,0.05751786,0.0368939,0.157503,0.0802680
58,0.385944838,0.057093374,0.0361978,0.152542,0.0787244
59,0.367589215,0.054546458,0.0361978,0.146341,0.0756371
60,0.359960905,0.053909729,0.0361978,0.146341,0.0740935
61,0.347326516,0.052211785,0.0355017,0.143861,0.0740935
62,0.339698205,0.050089354,0.0341095,0.130219,0.0725499
63,0.33183151,0.050089354,0.0334134,0.128979,0.0725499
64,0.327540585,0.049240382,0.0334134,0.122778,0.0710063
65,0.31562135,0.044571036,0.0327173,0.121538,0.0694627
